A.S	ey z
KIESLER	k iy z l er
KIGALI	k iy g aa l iy
KIGHT	k ay t
KIKUCHI	k iy k uw ch iy
KILBURG	k ih l b er g
KILBY	k ih l b iy
KILDAY	k ih l d ey
KILLIN	k ih l ih n
KILLMER	k ih l m er
KILTS	k ih l t s
KIMBALL	k ih m b ah l
KIMBLEY	k ih m b l iy
KIME	k ay m
KIMMEY	k ih m iy
KIMPLE	k ih m p ah l
KINCY	k ih n s iy
KINDLER	k ih n d ah l er
KINGMA	k ih ng m ah
KINKO	k ih ng k ow
KINTIGH	k ih n t ay
KINYON	k ih n y ah n
KIPPER	k ih p er
KIR	k ih r
KIRCHER	k er k er
KIRGAN	k er g ah n
KIRN	k er n
KIRSTIE	k er s t iy
KIRTLEY	k er t l iy
KISE	k ay z
KISH	k ih sh
KISLING	k ih s ah l ih ng
KISTNER	k ih s t n er
KITCHEL	k ih ch ah l
KITCHEN	k ih ch ah n
KITE	k ay t
KITES	k ay t s
KITZ	k ih t s
KIVELA	k ih v ih l ah
KLAHN	k l ae n
KLAIBER	k l ey b er
KLASS	k l ae s
KLASSEN	k l ae s ah n
KLAUER	k l aw er
KLEBAN	k l eh b ah n
KLEBER	k l iy b er
KLECKER	k l eh k er
KLEEN	k l iy n
KLEENEX	k l iy n ah k s
KLEIMAN	k l ay m ah n
KLEINER	k l ay n er
KLEM	k l eh m
KLENGE	k l eh n jh
KLESCH	k l eh sh
KLICH	k l ih ch
KLIMEK	k l ih m ih k
KLIMER	k l ih m er
KLINGER	k l ih ng er
KLINGON	k l ih ng g ah n
KLINKER	k l ih ng k er
KLINT	k l ih n t
KLIPP	k l ih p
KLOC	k l aa k
KLOPP	k l aa p
KLOS	k l ow s
KLOSS	k l ao s
KLOTH	k l aa th
KLOTZ	k l aa t s
KLUGE	k l uw jh
KLUGE'S	k l uw jh ih z
KLUKAS	k l uw k ah z
KLUNDER	k l ah n d er
KNABLE	n ey b ah l
KNAUFF	n ao f
KNAUP	n ao p
KNBC	k ey eh n b iy s iy
KNEE	n iy
KNESSET	n eh s ah t
KNIEF	n iy f
KNIPPA	n ih p ah
KNISS	n ih s
KNITS	n ih t s
KNITTLE	n ih t ah l
KNOCH	n aa k
KNOGO	n ow g ow
KNOLES	n ow l z
KNOTT'S	n aa t s
KNUCKLE	n ah k ah l
KNUPP	k n ah p
KNUTE	k n uw t
KNUTH	k n uw th
KOALA	k ow aa l ah
KOBRIN	k aa b r ih n
KOCAK	k ow k ah k
KOCSIS	k aa k s ih s
KODO	k ow d ow
KOEHN	k ow n
KOENIG	k er n ih g
KOEPSEL	k ow p s eh l
KOFLER	k ow f ah l er
KOGUT	k ow g ah t
KOHEN	k ow ah n
KOHL	k ow l
KOHLER	k ow l er
KOHLI	k ow l iy
KOHLMAN	k ow l m ah n
KOHLS	k ow l z
KOHNEN	k ow n ah n
KOHRS	k ao r z
KOIDO	k oy d ow
KOKAN	k ow k ah n
KOLBE	k ow l b
KOLODNY	k ah l aa d n iy
KOMAREK	k ow m aa r eh k
KOMBAT	k aa m b ae t
KOMMER	k aa m er
KOMOTO	k ow m ow t ow
KONA	k ow n ah
KONDAS	k aa n d ah z
KONEN	k aa n ah n
KONGER	k aa ng g er
KONRAD	k aa n r ah d
KONZI	k aa n z iy
KOOK	k uw k
KOPCHEV	k aa p ch ah v
KOPLAN	k aa p l ah n
KOPS	k aa p s
KOPY	k aa p iy
KOREN	k ao r ah n
KORTE	k ao r t
KORTMAN	k ao r t m ah n
KOSEL	k ow s ah l
KOSIBA	k ow s iy b ah
KOSKELA	k ah s k iy l ah
KOSTAL	k aa s t ah l
KOSTEK	k aa s t eh k
KOSTIC	k aa s t ih k
KOTE	k ow t
KOTELES	k aa t eh l eh z
KOTH	k aa th
KOTHARI	k aa th er iy
KOURI	k ow uh r iy
KOURIL	k uw r ah l
KOVAL	k ow v ah l
KOZICKI	k ah z ih t s k iy
KOZLOW	k aa z l ow
KOZUB	k ow z ah b
KRACK	k r ae k
KRALIK	k r aa l ih k
KRAMAR	k r ae m er
KRAPELS	k r ae p ah l z
KRASNER	k r ae s n er
KRASNY	k r ae z n iy
KRAT	k r ae t
KRAUER	k r aw r
KREMERS	k r iy m er z
KRENZ	k r eh n z
KRENZER	k r eh n z er
KRESSER	k r eh s er
KRESSIN	k r eh s ih n
KRIEBEL	k r iy b ah l
KRIESEL	k r iy s ah l
KRIGER	k r ay g er
KRILL	k r ih l
KRISHER	k r ih sh er
KRISKO	k r ih s k ow
KRIST	k r ih s t
KRIZEK	k r ih z eh k
KROC'S	k r aa k s
KROEBER	k r ow b er
KROEKER	k r ow k er
KROEZE	k r ow z
KROFT	k r aa f t
KROG	k r aa g
KROLAK	k r ow l ah k
KRONA	k r ow n ah
KRONEN	k r ow n ah n
KROPF	k r aa p f
KRUM	k r ah m
KRUPPA	k r ah p ah
KRUPSKI	k r ah p s k iy
KRYPTOS	k r ih p t ow s
KUALA	k w aa l ah
KUBICA	k y uw b ih k ah
KUBICKI	k ah b ih t s k iy
KUBLY	k ah b l iy
KUCERA	k ah ch ih r ah
KUCHAR	k ah k er
KUEHLER	k uh l er
KUEHN	k uw n
KUEHNE	k uw n
KUIPERS	k uw p er z
KUK	k ah k
KUKLA	k ah k l ah
KULIS	k uw l ih s
KUMAGAI	k uw m aa g aa iy
KUMBLE	k ah m b ah l
KUMM	k ah m
KUN	k ah n
KUNG	k ah ng
KUNTZE	k ah n t z
KUO	k uw ow
KUPRES	k uw p r ah s
KURD	k er d
KURLAK	k er l ae k
KURMAN	k er m ah n
KUTSCH	k ah ch
KUTTAB	k uw t ae b
KUTTER	k ah t er
KUZNIAR	k ah z n y er
KWASNY	k w aa z n iy
KWEISI	k w ay z iy
KYL	k ay l
KYLE	k ay l
KYNIKOS	k ih n iy k ow s
KYO	k y ow
KYOTO	k y ow t ow
KYRA	k ay r ah
KYSOR	k ay s er
KYTE	k ay t
L	eh l
L'AMOUR	l ae m ao r
LABANT	l ah b ae n t
LABATE	l aa b ey t
LABINE	l aa b iy n iy
LABLANC	l ah b l ae ng k
LACAVA	l aa k aa v ah
LACED	l ey s t
LACES	l ey s ah z
LACH	l ae ch
LACHLAN	l ae k l ah n
LACKS	l ae k s
LACONTE	l aa k ow n t iy
LACOSS	l ah k aa s
LACROSS	l ah k r ao s
LACTASE	l ae k t ey s
LACTONE	l ae k t ow n
LADING	l ey d ih ng
LADNIER	l ae d n iy er
LAEVO	l ey v ow
LAFAUCI	l aa f ao ch iy
LAFFEY	l ae f iy
LAFOE	l ah f ow
LAFORGE	l ah f ao r g
LAGAN	l ae g ah n
LAGE	l ey jh
LAGOS	l ey g ao s
LAHAYE	l ae hh ey
LAHIFF	l ae hh ih f
LAINE	l ey n
LAIT	l ey
LAK	l ae k
LAKE'S	l ey k s
LAKERS	l ey k er z
LAKEY	l ey k iy
LAKIN	l ae k ih n
LAKOTA	l ah k ow t ah
LAKOTAS	l ah k ow t ah z
LALITA	l ah l iy t ah
LALLIE	l ao l iy
LALLY	l ae l iy
LALOR	l ae l ao r
LAMBETH	l ae m b ih th
LAMBOY	l ae m b oy
LAMBROS	l ae m b r ow z
LAMBS	l ae m z
LAMER	l ey m er
LAMERS	l ey m er z
