!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
AUSCHWITZ(2)	AW SH W IH T S
AUTENRIETH(2)	AW T IH N R IY TH
AUTHENTIC(2)	AO TH EH N T IH K
AUTHENTIC(3)	AO TH EH N IH K
AUTHENTIC(4)	AH TH EH N IH K
AUTHENTICALLY(2)	AO TH EH N IH K L IY
AUTOMATIC(2)	AO T OW M AE T IH K
AUTOMATICALLY(2)	AO T OW M AE T IH K L IY
AUTONOMY(2)	AH T AA N AH M IY
AUXILIARY(2)	AA G Z IH L IY EH R IY
AVAILABILITY(2)	AH V EY L AH B IH L IH T IY
AVANT-GARDE(2)	AH V AA N G AA R D
AVENTURA(2)	AE V AH N CH UH R AH
AVERAGE(2)	AE V R AH JH
AVERAGE(3)	AE V R IH JH
AVERAGED(2)	AE V R IH JH D
AVERIL(2)	EY V R IH L
AVI(2)	EY V IY
AVID(2)	AE V IH D
AVOIDED(2)	AH V OY D IH D
AVRAHAM(2)	AA V R AH HH AA M
AVRIL(2)	EY V R AH L
AWAITED(2)	AH W EY T IH D
AWARDED(2)	AH W AO R D IH D
AWB(2)	EY D AH B AH L Y UW B IY
AWB(3)	EY D AH B AH Y UW B IY
AWE(2)	AO
AWEIDA(2)	AH W AY D AH
AWESOME(2)	AO S AH M
AWESOMELY(2)	AO S AH M L IY
AWFUL(2)	AO F AH L
AWFULLY(2)	AO F AH L IY
AWKWARD(2)	AO K W ER D
AXES(2)	AE K S IY Z
AY(2)	AY
AYDAR(2)	EY D AA R
AYENDE(2)	AH Y EH N D EY
AYER'S(2)	EY R Z
AYER(2)	EY ER
AYERS(2)	EY ER Z
AYERST(2)	EH R AH S T
AYGEN(2)	EY G AH N
AYKROYD(2)	AY K R OY D
AYLESWORTH(2)	EY AH L Z W ER TH
AYLWIN(2)	AY L W IH N
AYYAD'S(2)	AY AE D Z
AYYAD(2)	AY AE D
AZERBAIJAN'S(2)	AE Z ER B AY JH AA N Z
AZERBAIJAN(2)	AE Z ER B AY JH AA N
AZERBAIJANI(2)	AE Z ER B AY JH AA N IY
AZERBAIJANIS(2)	AE Z ER B AY JH AA N IY Z
AZIDOTHYMIDINE(2)	AH Z IH D AH TH AY M AH D AY N
AZIDOTHYMIDINE(3)	EY Z AY D AH TH AY M AH D IY N
AZIDOTHYMIDINE(4)	EY Z AY D AH TH AY M AH D AY N
BA'ATH(2)	B AH AA TH
BABA'S(2)	B AA B AH Z
BABA(2)	B AA B AH
BABANGIDA(2)	B AH B AE NG G IH D AH
BABBLING(2)	B AE B L IH NG
BABOON'S(2)	B AH B UW N Z
BABOONS(2)	B AH B UW N Z
BACCHANAL(2)	B AE K IH N AH L
BACHE'S(2)	B EY CH IH Z
BACHE(2)	B EY CH
BACHELOR'S(2)	B AE CH L ER Z
BACHELOR(2)	B AE CH L ER
BACKHANDED(2)	B AE K HH AE N D IH D
BACKLOG(2)	B AE K L AO G
BACKPEDALING(2)	B AE K P EH D L IH NG
BACKSAW(2)	B AE K S AO
BACKSAWS(2)	B AE K S AO Z
BACOT(2)	B EY K AE T
BADER(2)	B EY D ER
BAEHR(2)	B EH R
BAEK(2)	B EH K
BAFFLING(2)	B AE F L IH NG
BAGGAGE(2)	B AE G IH JH
BAHR(2)	B AA R
BAHRAIN'S(2)	B AY R EY N Z
BAHRAIN(2)	B AY R EY N
BAHRAINI(2)	B AY R AA N IY
BAHRAINI(3)	B AA R EY N IY
BAHRAINIAN(2)	B AY R AA N IY AH N
BAHRAINIAN(3)	B AA R EY N IY AH N
BAILIFF(2)	B EY L IH F
BAKKER'S(2)	B EY K ER Z
BAKKER(2)	B EY K ER
BAKKERS(2)	B EY K ER Z
BALANCES(2)	B AE L AH N S IH Z
BALDWIN(2)	B AO L D W IH N
BALK(2)	B AA L K
BALLASTS(2)	B AE L AH S
BALLESTEROS(2)	B AH L EH S T ER OW S
BALLY'S(2)	B EY L IY Z
BALLY(2)	B EY L IY
BALM(2)	B AA L M
BALMS(2)	B AA L M Z
BANCA(2)	B AA NG K AH
BANCORP'S(2)	B AE N K AO R P S
BANCORP(2)	B AE N K AO R P
BANDAGES(2)	B AE N D IH JH IH Z
BANDERAS(2)	B AA N D ER AH S
BANDICOOT(2)	B AE N D IY K UW T
BANDICOOTS(2)	B AE N D IY K UW T S
BANGOR(2)	B AE NG G AO R
BANKRUPTCY(2)	B AE NG K R AH P T S IY
BANKWORCESTER(2)	B AE NG K W UW S T ER
BANNISTER(2)	B AE N IH S T ER
BANYA(2)	B AE N Y AH
BANYAS(2)	B AE N Y AH Z
BAPTIST(2)	B AE P T IH S T
BAPTISTS(2)	B AE P T AH S
BARACH(2)	B ER AA K
BARBARA(2)	B AA R B R AH
BARBARIC(2)	B AA R B EH R IH K
BARBARITY(2)	B AA R B EH R AH T IY
BARCLAY'S(2)	B AA R K L EY Z
BARCLAY(2)	B AA R K L IY
BARCLAYS'(2)	B AA R K L EY Z
BARCLAYS'S(2)	B AA R K L EY Z IH Z
BARCLAYS(2)	B AA R K L EY Z
BAREFIELD(2)	B AE R F IY L D
BARENTINE(2)	B EH R AH N T IY N
BARENTINE(3)	B EH R AH N T AY N
BARFKNECHT(2)	B AA R F N EH K T
BARGAIN(2)	B AA R G IH N
BARGAINS(2)	B AA R G IH N Z
BARGES(2)	B AA R JH IH Z
BARON'S(2)	B EH R AH N Z
BARON(2)	B EH R AH N
BARONET(2)	B EH R AH N EH T
BARONETS(2)	B EH R AH N EH T S
BARONS(2)	B EH R AH N Z
BARRACK(2)	B EH R AH K
BARRACKS(2)	B EH R AH K S
BARRE(2)	B AA R
BARREL(2)	B EH R AH L
BARRELED(2)	B EH R AH L D
BARRELING(2)	B EH R AH L IH NG
BARRELS(2)	B EH R AH L Z
BARREN(2)	B EH R AH N
BARRETT(2)	B EH R IH T
BARRICADE(2)	B EH R AH K EY D
BARRICADED(2)	B EH R AH K EY D IH D
BARRICADES(2)	B EH R AH K EY D Z
BARRICK'S(2)	B EH R IH K S
BARRICK(2)	B EH R IH K
BARRIE(2)	B EH R IY
BARRIER(2)	B EH R IY ER
BARRIERS(2)	B EH R IY ER Z
BARRINGTON(2)	B EH R IH NG T AH N
BARRIOS(2)	B EH R IY OW Z
BARRIS(2)	B EH R IH S
BARRISTER(2)	B EH R IH S T ER
BARRISTERS(2)	B EH R IH S T ER Z
BARRON'S(2)	B EH R AH N Z
BARRON(2)	B EH R AH N
BARROW(2)	B EH R OW
BARROWMAN(2)	B EH R OW M AH N
BARROWS(2)	B EH R OW Z
BARRY'S(2)	B EH R IY Z
BARRY(2)	B EH R IY
BARRYMORE(2)	B EH R IY M AO R
BARTLESTEIN(2)	B AA R T AH L S T AY N
BAS-RELIEF(2)	B AA S R IY L IY F
BAS-RELIEFS(2)	B AA S R IY L IY F S
BASAYEV(2)	B AE S AA Y EH F
BASEHORE(2)	B EY S HH AO R
BASES(2)	B EY S IH Z
BASES(3)	B EY S IY Z
BASI(2)	B EY S IY
BASILICA(2)	B AH Z IH L AH K AH
BASIS(2)	B EY S IH S
BASS'S(2)	B AE S IH Z
BASS(2)	B EY S
BASSES(2)	B EY S IH Z
BATAVIA(2)	B AH T AE V IY AH
BATCHES(2)	B AE CH IH Z
BATESON(2)	B EY T S AH N
BATESON(3)	B AE T S AH N
BATHER(2)	B AE DH ER
BATHERS(2)	B AE DH ER Z
BATHROOMS(2)	B AA TH R UW M Z
BATIKS(2)	B AH T IY K S
BATON(2)	B AE T AA N
BATON(3)	B AE T AH N
BATTLEMENT(2)	B AE T AH L M EH N T
BATTLING(2)	B AE T L IH NG
BATUS(2)	B AO T AH S
BAUCUS(2)	B AE K AH S
BAUM(2)	B AW M
BAUMBERGER(2)	B AA M B ER G ER
BAUMGARD(2)	B AA M G ER D
BAUMGARDNER(2)	B AA M G AA R D N ER
BAUMGARDT(2)	B AA M G AA R T
BAUMGARNER(2)	B AA M G AA R N ER
BAUMGART(2)	B AA M G AA R T
BAUMGARTEN(2)	B AA M G AA R T AH N
BAUMGARTNER(2)	B AA M G AA R T N ER
BAUMHARDT(2)	B AA M HH AA R T
BAUMHAUER(2)	B AW M HH AW ER
BAUMHOLDER(2)	B AW M HH AO L D ER
BAUMLER(2)	B AA M AH L ER
BAUMLER(3)	B AA M L ER
BAUMSTARK(2)	B AA M S T AA R K
BAUR(2)	B AW ER
BAZILE(2)	B AA Z IY L
BBQ(2)	B AA R B IH K Y UW
BEACHAM(2)	B IY CH AH M
BEACHES(2)	B IY CH IH Z
BEACHLER(2)	B IY CH L ER
BEATRICE'S(2)	B IY T R IH S IH Z
BEATRICE(2)	B IY AH T R IH S
BEATRICE(3)	B IY T R AH S
BEATRICE(4)	B IY T R IH S
BEATRIX(2)	B IY AH T R IH K S
BEATTY(2)	B EY T IY
BEAUREGARD(2)	B AO R IH G AA R D
BEAUTIFULLEST(2)	B Y UW T AH F L AH S T
BECAME(2)	B IY K EY M
BECAUSE(2)	B IH K AH Z
BECAUSE(3)	B IH K AA Z
BEDOUIN(2)	B EH D UW IH N
BEDOUIN(3)	B EH D AH W AH N
BEDOUINS(2)	B EH D UW IH N Z
BEDOUINS(3)	B EH D AH W AH N Z
BEDROSIAN(2)	B AH D R OW Z IY AH N
BEEBOWER(2)	B IY B AW ER
BEEN(2)	B AH N
BEFORE(2)	B IY F AO R
BEGAN(2)	B IY G AE N
BEGUN(2)	B EY G AH N
BEHAVIORAL(2)	B IY HH EY V Y ER AH L
BEHEAD(2)	B IY HH EH D
BEHEMOTH(2)	B IY HH AH M AH TH
BEIDLER(2)	B AY D L ER
BEILIN(2)	B EY L IH N
BEIT(2)	B AY T
BEITLER(2)	B AY T L ER
BEKAA(2)	B AH K AA
BELAIR(2)	B EH L EH R
BELGACOM(2)	B EH L JH AH K AA M
BELGRADE'S(2)	B EH L G R AA D Z
BELGRADE(2)	B EH L G R AA D
BELITTLING(2)	B IH L IH T L IH NG
BELOVED(2)	B IH L AH V AH D
BELOW(2)	B IY L OW
BELTED(2)	B EH L T IH D
BELVEDERE(2)	B EH L V IH D IH R
BENDEL(2)	B EH N D EH L
BENET'S(2)	B AH N EY Z
BENET(2)	B AH N EY
BENETTON'S(2)	B EH N AH T AO N Z
BENETTON(2)	B EH N AH T AO N
BENGOECHEA(2)	B EH NG G OW CH IY AH
BENIGNO(2)	B EH N IH G N OW
BENIHANA(2)	B EH N IY HH AA N AH
BENITO(2)	B AH N IY T OW
BENITO(3)	B IH N IY T OW
BENNETT(2)	B EH N IH T
BENSENYORE(2)	B EH N S IY N Y AO R IY
BENZ(2)	B AE N Z
BEREGOVOY(2)	B EH R AH G OW V OY
BEREGOVOY(3)	B EH R EH G AH V OY
BERET(2)	B EH R EY T
BERETS(2)	B EH R EY Z
BEREZINE(2)	B IH R AH Z AY N
BERGSTEIN(2)	B ER G S T IY N
BERKSHIRE(2)	B ER K SH AY R
BERKSHIRES(2)	B ER K SH AY R Z
BERLINER'S(2)	B ER L AY N ER Z
BERLINER(2)	B ER L AY N ER
BERLINERS(2)	B ER L AY N ER Z
BERNARD(2)	B ER N ER D
BERNARDINO(2)	B ER N AA R D IY N OW
BERNSTEIN'S(2)	B ER N S T AY N Z
BERNSTEIN(2)	B ER N S T IY N
BERNSTEINS(2)	B ER N S T IY N Z
BERRARD(2)	B ER AA R D
BERSTEIN(2)	B ER S T AY N
BERTHS(2)	B ER DH Z
BERTLING(2)	B ER T L IH NG
BESIDE(2)	B IY S AY D
BESIDES(2)	B IY S AY D Z
BESLER(2)	B EH S L ER
BESTSELLER(2)	B EH S EH L ER
BESTSELLERS(2)	B EH S EH L ER Z
BESTSELLING(2)	B EH S EH L IH NG
BETABIA(2)	B AH T AE B IY AH
BETHEL(2)	B EH TH EH L
BETSCHART(2)	B EH CH AA R T
BETWEEN(2)	B IY T W IY N
BETWEENS(2)	B IY T W IY N Z
BEUCLER(2)	B OY K L ER
BEUTLER(2)	B OY T L ER
BEVERAGE(2)	B EH V R IH JH
BEYOND(2)	B IY AO N D
BEYOND(3)	B IH AO N D
BHATIA(2)	B AA T Y AH
BHATT(2)	B AA T
BHIKSHA(2)	B IY K SH AA
BHUTAN(2)	B AH T AA N
BIBI'S(2)	B IY B IY Z
BIBI(2)	B IY B IY
BIBLER(2)	B AY B L ER
BIBLICAL(2)	B IH B L IH K AH L
BICHLER(2)	B IH K L ER
BICYCLING(2)	B AY S IH K L IH NG
BICYCLISTS(2)	B AY S IH K L IH S
BIEGLER(2)	B IY G L ER
BIELECKI(2)	B AY L EH K IY
BIFURCATE(2)	B AY F ER K EY T
BIFURCATED(2)	B AY F ER K EY T IH D
BIFURCATION(2)	B AY F ER K EY SH AH N
BIGLER(2)	B AY G L ER
BIGLER(3)	B IH G L ER
BIHARI(2)	B IY HH AA R IY
BIJAC(2)	B IY JH AE K
BILLET(2)	B IH L IH T
BIMINI(2)	B IH M IY N IY
BIOCHEMICAL(2)	B AY OW K EH M IH K AH L
BIOSIS(2)	B IY OW S IH S
BIPARTISAN(2)	B AY P AA R T IH S AH N
BIPARTISANSHIP(2)	B AY P AA R T AH S AH N SH IH P
BIRCHLER(2)	B ER K L ER
BIRDDOG(2)	B ER D AW G
BITLER(2)	B AY T L ER
BITUMEN(2)	B AY T UW M AH N
BIZARRE(2)	B IH Z AA R
BLACHLY(2)	B L AA K L IY
BLACKENING(2)	B L AE K N IH NG
BLANKET(2)	B L AE NG K IH T
BLASIER'S(2)	B L EY ZH ER Z
BLASIER(2)	B L EY ZH ER
BLASTED(2)	B L AE S T IH D
BLAUSTEIN(2)	B L AW S T IY N
BLENDED(2)	B L EH N D IH D
BLITSTEIN(2)	B L IH T S T AY N
BLOODHOUNDS(2)	B L AH D HH AW N Z
BLOUSES(2)	B L AW S IH Z
BLUESTEIN(2)	B L UH S T IY N
BLUESY(2)	B L UW AH S IY
BLUMENSTEIN(2)	B L UW M EH N S T IY N
BLUMSTEIN(2)	B L AH M S T IY N
BLUNTED(2)	B L AH N T IH D
BLUSHES(2)	B L AH SH IH Z
BOARDED(2)	B AO R D IH D
BOASTED(2)	B OW S T IH D
BOCCE(2)	B OW K AH
BODEGUITA(2)	B OW D AH G IY D AH
BODENHAMER(2)	B OW D IH N HH AH M ER
BODENSTEIN(2)	B OW D AH N S T IY N
BOEHM(2)	B EY M
BOEHME(2)	B EY M
BOESCHENSTEIN(2)	B OW SH AH N S T AY N
BOG(2)	B AO G
BOGEYMAN(2)	B UH G IY M AE N
BOGEYMEN(2)	B UH G IY M IH N
BOGGED(2)	B AO G D
BOGGLING(2)	B AA G L IH NG
BOGS(2)	B AO G Z
BOHLKE(2)	B OW L K
BOISE'S(2)	B OY S IY Z
BOISE(2)	B OY S IY
BOISTEROUS(2)	B OY S T R AH S
BOLIVIA(2)	B OW L IH V IY AH
BOLIVIAN(2)	B AH L IH V IY AH N
BOLIVIANS(2)	B AH L IH V IY AH N Z
BOLTED(2)	B OW L T IH D
BOMB(2)	B AO M
BONADUCE(2)	B AA N AH D UW S
BONAFIDE(2)	B OW N AH F AY D
BONDED(2)	B AA N D IH D
BONIOR(2)	B OW N W AA R
BONOBO(2)	B AA N AH B AH
BONOBOS(2)	B AA N AH B AH Z
BOOGIE(2)	B UH G IY
BOOGIE-WOOGIE(2)	B UH G IY W UH G IY
BORENSTEIN(2)	B AO R AH N S T IY N
BORKENHAGEN(2)	B AO R K IH N HH EY G AH N
BORNSTEIN(2)	B AO R N S T IY N
BOSLER(2)	B AA Z L ER
BOSS(2)	B AO S
BOSSLER(2)	B AA S L ER
BOSTON(2)	B AO S T AH N
BOTANICALLY(2)	B AH T AE N AH K L IY
BOTHA'S(2)	B OW T AH Z
BOTHA(2)	B OW T AH
BOTTLING(2)	B AA T L IH NG
BOUCHER(2)	B AW CH ER
BOUCHER(3)	B AO CH ER
BOUGHT(2)	B AO T
BOUNDARIES(2)	B AW N D R IY Z
BOUNDARY(2)	B AW N D R IY
BOUNDED(2)	B AW N D IH D
BOUNTIFUL(2)	B AW N IH F AH L
BOUQUETS(2)	B UW K EY Z
BOURSICOT(2)	B AH R S AH K AO T
BOUYGUES(2)	B OY G EH Z
BOW(2)	B OW
BOWATER(2)	B OW AO T ER
BOWATER(3)	B OW W AO T ER
BOWDEN(2)	B AW D AH N
BOWED(2)	B OW D
BOWELS(2)	B AW L Z
BOWING(2)	B AW IH NG
BOWRON(2)	B OW R AA N
BOWS(2)	B OW Z
BOXES(2)	B AA K S IH Z
BOYFRIENDS(2)	B OY F R EH N Z
BOZTEPE(2)	B OW Z T EH P
BOZTEPE(3)	B AA Z T EH P IY
BOZTEPE(4)	B OW Z T EH P IY
BRACES(2)	B R EY S IH Z
BRACHIA(2)	B R AE K IY AH
BRACHII(2)	B R EY K IY IY
BRACKETS(2)	B R AE K IH T S
BRADYCARDIA(2)	B R AE D IH K AA R D IY AH
BRAGANZA(2)	B R AH G AE N Z AH
BRANCHES(2)	B R AE N CH IH Z
BRANDENSTEIN(2)	B R AE N D EH N S T IY N
BRAS(2)	B R AA S
BRASIL(2)	B R AH S IY L
BRASILIA(2)	B R AH S IH L Y AH
BRASOW(2)	B R AE Z OW
BRAUNSTEIN(2)	B R AO N S T AY N
BREASTED(2)	B R EH S T IH D
BREAUX(2)	B R UW
BREIDENSTEIN(2)	B R AY D AH N S T IY N
BREITENSTEIN(2)	B R AY T AH N S T IY N
BREITLING(2)	B R AY T L IH NG
BRENDLINGER(2)	B R EH N D L IH NG ER
BRENTLINGER(2)	B R EH N T L IH NG ER
BRETTSCHNEIDER(2)	B R EH T S N AY D ER
BREWERIES(2)	B R UW R IY Z
BREZHNEV'S(2)	B R EH Z N EH F S
BREZHNEV(2)	B R EH Z N EH F
BRIANA'S(2)	B R IY AA N AH Z
BRIANA(2)	B R IY AA N AH
BRIDGES(2)	B R IH JH IH Z
BRIDGET(2)	B R IH JH IH T
BRIDGETTE(2)	B R IH JH IY T
BRIGADE(2)	B R IH G EY D
BRIGHTENING(2)	B R AY T N IH NG
BRILLSTEIN(2)	B R IH L S T AY N
BRIOCHE(2)	B R IY AA SH
BRISTLING(2)	B R IH S L IH NG
BRITTANIA(2)	B R IH T AE N Y AH
BROADENING(2)	B R AO D N IH NG
BROCCOLI(2)	B R AA K L IY
BRODERICK'S(2)	B R AA D R IH K Z
BRODERICK(2)	B R AA D R IH K
BROKERAGE'S(2)	B R OW K R IH JH IH Z
BROKERAGE(2)	B R OW K R IH JH
BROKERAGES'(2)	B R OW K R IH JH IH Z
BROKERAGES(2)	B R OW K R IH JH IH Z
BRONSTEIN(2)	B R AA N S T AY N
BRONTOSAURUS(2)	B R AO N AH S AO R AH S
BRONZES(2)	B R AA N Z IH Z
BROOCH(2)	B R OW CH
BROOKLYN'S(2)	B R UH K L IH N Z
BROOKLYN(2)	B R UH K L IH N
BROOKS'S(2)	B R UH K S
BROWNSTEIN(2)	B R AW N S T IY N
BRUGES(2)	B R UW ZH
BRUISES(2)	B R UW Z IH Z
BRUSETT(2)	B R UW S EH T
BRUTALITY(2)	B R UW T AE L IH T IY
BUA(2)	B IY Y UW EY
BUBBLING(2)	B AH B L IH NG
BUBBLY(2)	B AH B AH L IY
BUCHAREST(2)	B UW K ER EH S T
BUCHBINDER(2)	B UH K B AY N D ER
BUCHI'S(2)	B UW CH IY Z
BUCHI(2)	B UW CH IY
BUCHLER(2)	B AH K L ER
BUCHMILLER(2)	B UH K M AH L ER
BUCHOLTZ(2)	B UH K OW L T S
BUCKET(2)	B AH K IH T
BUCKLER(2)	B AH K L ER
BUDAPEST'S(2)	B UW D AH P EH SH T S
BUDAPEST(2)	B UW D AH P EH SH T
BUDGETED(2)	B AH JH IH T IH D
BUDIMAN(2)	B AH D IH M AH N
BUDVAR(2)	B UH D V AA R
BUECHLER(2)	B Y UW K L ER
BUEHRER(2)	B Y UW ER
BUENOS(2)	B W EY N AH S
BUENOS-AIRES(2)	B W EY N AH S EY R IY S
BUENOS-AIRES(3)	B W EY N OW S EY R
BUENOS-AIRES(4)	B W EY N AH S EH R
BUFFET(2)	B AH F EY
BUFFETED(2)	B AH F IH T IH D
BUFFETING(2)	B AH F AH T IH NG
BUFFETS(2)	B AH F EY Z
BUGA(2)	B IY Y UW JH IY EY
BUGLING(2)	B Y UW G L IH NG
BUI(2)	B W IY
BUICE(2)	B W IY S
BUIE(2)	B W IY
BUIKEMA(2)	B W IH K EY M AH
BULIMIC(2)	B UW L IH M IH K
BUMBLING(2)	B AH M B L IH NG
BUNCHES(2)	B AH N CH IH Z
BUNDESBANK(2)	B AA N D IH S B AE NG K
BUNDESBANK(3)	B UH N D IH S B AA NG K
BUNDLING(2)	B AH N D L IH NG
BUNGLING(2)	B AH NG G L IH NG
BURDINE'S(2)	B ER D AY N Z
BURDINE(2)	B ER D AY N
BURDINES(2)	B ER D AY N Z
BUREAUCRAT(2)	B Y UH R OW K R AE T
BUREAUCRATS(2)	B Y UH R OW K R AE T S
BURES(2)	B EH R IH Z
BURLESON(2)	B ER L S AH N
BURNHAM'S(2)	B ER N HH AE M Z
BURNHAM(2)	B ER N HH AE M
BURNSTEIN(2)	B ER N S T IY N
BURROUGHS(2)	B ER OW Z
BURSTEIN(2)	B ER S T IY N
BUSEY(2)	B AH S IY
BUSINESS'(2)	B IH Z N AH S
BUSINESS(2)	B IH Z N IH S
BUSINESSES(2)	B IH Z N IH S IH Z
BUSINESSMAN(2)	B IH Z N IH S M AE N
BUSLER(2)	B AH S L ER
BUSSI(2)	B Y UW S IY
BUSSIE(2)	B Y UW S IY
BUSTLING(2)	B AH S L IH NG
BUTARE'S(2)	B Y UW T AA R IY Z
BUTARE(2)	B Y UW T AA R IY
BUTCHKO(2)	B UH CH K OW
BUTROS(2)	B UW T R AH S
BUTTRESSES(2)	B AH T R AH S IH Z
BUZZE(2)	B Y UW Z IY
BYARD(2)	B AY ER D
BYELORUSSIA(2)	B EH L OW R AH SH AH
BYELORUSSIA(3)	B AY EH L OW R AH SH AH
BYZANTINE(2)	B IH Z AH N T IY N
C'EST(2)	S EY
CA(2)	S IY EY
CA(3)	K AA
CABBAGE(2)	K AE B IH JH
CABERNETS(2)	K AE B ER N EY Z
CABINET(2)	K AE B N AH T
CABINETS(2)	K AE B N AH T S
CABLEC(2)	K EY B AH L S IY
CABLEC(3)	K EY B L EH K
CABLER(2)	K EY B L ER
CABO(2)	S IY EY B IY OW
CABRIOLET(2)	K AE B R IY OW L EH T
CAC(2)	S IY EY S IY
CACHE(2)	K AE SH EY
CACHES(2)	K AE SH EY Z
CACKLING(2)	K AE K L IH NG
CACLD(2)	S IY EY S IY EH L D IY
CACTI(2)	K AE K T IY
CADRONE(2)	K AH D R OW N IY
CAEN'S(2)	K AA N Z
CAEN(2)	K AA N
CAFE(2)	K AE F EY
CAISSON(2)	K EH S AH N
CAISSONS(2)	K EH S AH N Z
CALAMITY(2)	K AH L AE M IH T IY
CALCULATED(2)	K AE L K Y AH L EY T IH D
CALDERA(2)	K AO L D EH R AH
CALDERON(2)	K AE L D ER OW N
CALFED(2)	K AE L F EH D
CALI(2)	K AE L IY
CALITE(2)	K EY L AY T
CALIX(2)	K EY L AH K S
CALL'S(2)	K AA L Z
CALM(2)	K AA L M
CALMART'S(2)	K AE L M AA R T S
CALMART(2)	K AE L M AA R T
CALMED(2)	K AA L M D
CALMER(2)	K AA L M ER
CALMEST(2)	K AA L M AH S T
CALMING(2)	K AA L M IH NG
CALMLY(2)	K AA L M L IY
CALMNESS(2)	K AA L M N AH S
CALMS(2)	K AA L M Z
CALVIN'S(2)	K AE L V IH N Z
CALVIN(2)	K AE L V IH N
CALVINIST(2)	K AE L V IH N IH S T
CAMA(2)	S IY EY EH M EY
CAMAGUEY(2)	K AE M AH G W EY
CAMARENA(2)	K AA M ER EY N AH
CAMERA(2)	K AE M R AH
CAMERAS(2)	K AE M R AH Z
CAMPUSES(2)	K AE M P AH S IH Z
CAN(2)	K AH N
CANAVERAL(2)	K AH N AE V R AH L
CANCELING(2)	K AE N S L IH NG
CANCELLING(2)	K AE N S L IH NG
CANCUN(2)	K AA NG K UW N
CANDID(2)	K AE N D IH D
CANDIDATE(2)	K AE N AH D IH T
CANDIDATES(2)	K AE N AH D IH T S
CANDLER(2)	K AE N D L ER
CANISTER(2)	K AE N IH S T ER
CANISTERS(2)	K AE N IH S T ER Z
CANNES(2)	K AE N
CANNOT(2)	K AH N AA T
CANSLER(2)	K AE N S L ER
CANTERBURY'S(2)	K AE N ER B EH R IY Z
CANUCK(2)	K AH N AH K
CANUCKS(2)	K AH N AH K S
CAPACITIES(2)	K AH P AE S IH T IY Z
CAPACITORS(2)	K AH P AE S IH T ER Z
CAPACITY(2)	K AH P AE S IH T IY
CAPECI(2)	K AH P IY CH IY
CAPITAL(2)	K AE P IH T AH L
CAPITALS(2)	K AE P IH T AH L Z
CAPITULATE(2)	K AH P IH CH UW L EY T
CAPLINGER(2)	K EY P L IH NG ER
CAPLINGER(3)	K AE P L IH N JH ER
CAPRI'S(2)	K AH P R IY Z
CAPRI(2)	K AH P R IY
CARAVAN(2)	K EH R AH V AE N
CARAVANS(2)	K EH R AH V AE N Z
CARAWAY(2)	K EH R AH W EY
CARBOHYDRATE(2)	K AA R B OW HH AY D R AH T
CARBONATED(2)	K AA R B AH N EY T IH D
CARDED(2)	K AA R D IH D
CARDINAL(2)	K AA R D IH N AH L
CARELOCK(2)	K AE R L AA K
CARIBBEAN(2)	K EH R IH B IY AH N
CARMEL(2)	K AA R M AH L
CARNEGIE'S(2)	K AA R N EY G IY Z
CARNEGIE(2)	K AA R N EY G IY
CARNEGIE-MELLON(2)	K AA R N EY G IY M EH L AH N
CARNEGIES(2)	K AA R N EY G IY Z
CAROL'S(2)	K AE R AH L Z
CAROL(2)	K EH R AH L
CAROLCO'S(2)	K ER EH L K OW Z
CAROLE(2)	K EH R AH L
CAROLINIAN(2)	K EH R AH L IH N IY AH N
CAROLYNE(2)	K EH R AH L AY N
CARRE(2)	K AA R EY
CARRIAGE(2)	K EH R AH JH
CARRIAGES(2)	K EH R AH JH AH Z
CARRIED(2)	K EH R IY D
CARRIER'S(2)	K EH R IY ER Z
CARRIER(2)	K EH R IY ER
CARRIERS(2)	K EH R IY ER Z
CARRIES(2)	K EH R IY Z
CARROLL'S(2)	K EH R AH L Z
CARROLL(2)	K EH R AH L
CARROT(2)	K EH R AH T
CARROTS(2)	K EH R AH T S
CARRY(2)	K EH R IY
CARRYING(2)	K EH R IY IH NG
CARS(2)	K AA Z
CARSON(2)	K AA R Z AH N
CARTHAGE(2)	K AA R TH IH JH
CARTILAGE(2)	K AA R T AH L IH JH
CARTRIDGE(2)	K AA R T R IH JH
CARVELL(2)	K AA R V EH L
CASALS(2)	K AH S AA L Z
CASEBEER(2)	K EY S B IH R
CASES(2)	K EY S IH Z
CASLER(2)	K AE S L ER
CASPAR(2)	K AE S P AA R
CASTILLO(2)	K AE S T IH L OW
CASTIO(2)	K AE S T Y OW
CASUAL(2)	K AE ZH W AH L
CASUALLY(2)	K AE ZH W AH L IY
CASUALNESS(2)	K AE ZH W AH L N EH S
CASUALTIES(2)	K AE ZH W AH L T IY Z
CASUALTIES(3)	K AE ZH AH L T IY Z
CASUALTY(2)	K AE ZH W AH L T IY
CASUALTY(3)	K AE ZH AH L T IY
CATAIN(2)	K AH T EY N
CATALOGS(2)	K AE T AH L AO G Z
CATALYST(2)	K AE T AH L IH S T
CATALYSTS(2)	K AE T AH L IH S T S
CATCHES(2)	K AE CH IH Z
CATEGORICAL(2)	K AE T AH G AO R IH K AH L
CATEGORICALLY(2)	K AE T AH G AO R IH K L IY
CATERPILLAR(2)	K AE T ER P IH L ER
CATERPILLER'S(2)	K AE T ER P IH L ER Z
CATERPILLER(2)	K AE T ER P IH L ER
